                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.7508,                 25.028,                 4.3806,                      0,                      0,                      0,                      0,                 5.5888,                  6.813,                 4.1514,                   0.09,                   0.01,                   0.01
                      1,                 5.7411,                 8.8967,                 4.1831,                      0,                      0,                      0,                      0,                 5.5193,                 4.8679,                 4.0998,               0.079297,               0.020297,               0.020297
                      2,                 5.3234,                 5.4188,                 3.7326,                      0,                      0,                      0,                      0,                 4.2744,                 4.5549,                 3.2946,               0.068386,               0.030386,               0.030386
                      3,                 4.7116,                 4.9358,                 3.1452,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.057267,               0.040267,               0.040267
                      4,                 4.4765,                 4.9566,                  2.841,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.04802,                0.04802,                0.04802
                      5,                 4.5304,                 4.9943,                 2.8599,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.04802,                0.04802,                0.04802
                      6,                 4.3607,                 4.9345,                 2.8474,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.047525,               0.047525,               0.047525
                      7,                 4.3972,                 4.9165,                 2.9501,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.04703,                0.04703,                0.04703
                      8,                 4.4802,                 4.9982,                 2.7897,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.046535,               0.046535,               0.046535
                      9,                 4.2932,                 4.8731,                 2.8742,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.04604,                0.04604,                0.04604
                     10,                 4.1197,                 4.9729,                 2.6812,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.045545,               0.045545,               0.045545
                     11,                 4.4056,                 4.9712,                 2.7844,                      0,                      0,                      0,                      0,                 4.4226,                 4.3868,                 2.9888,                0.04505,                0.04505,                0.04505
                     12,                 4.1958,                 4.9764,                 2.7513,                      0,                      0,                      0,                      0,                 4.0953,                 4.5577,                 2.9459,               0.044555,               0.044555,               0.044555
                     13,                  4.425,                 5.0065,                 2.7724,                      0,                      0,                      0,                      0,                 3.8465,                 4.5487,                 2.8201,                0.04406,                0.04406,                0.04406
                     14,                 4.2983,                 4.9177,                 2.7281,                      0,                      0,                      0,                      0,                  3.882,                 4.3971,                 2.7786,               0.043565,               0.043565,               0.043565
                     15,                 4.3122,                 8.6461,                   2.72,                      0,                      0,                      0,                      0,                 3.9984,                 4.5069,                 2.8565,                0.04307,                0.04307,                0.04307
                     16,                 4.4048,                 5.0245,                 2.6414,                      0,                      0,                      0,                      0,                 4.0459,                 4.4569,                  2.823,               0.042575,               0.042575,               0.042575
                     17,                 4.1259,                 4.9098,                 2.6246,                      0,                      0,                      0,                      0,                 3.7427,                 4.4468,                 2.6388,                0.04208,                0.04208,                0.04208
                     18,                 4.2369,                 4.9466,                  2.671,                      0,                      0,                      0,                      0,                 3.7694,                 4.2097,                 2.6862,               0.041585,               0.041585,               0.041585
                     19,                 4.1513,                 4.9966,                 2.6288,                0.00053,                0.05882,                0.00036,                0.00015,                 3.8082,                 4.5015,                 2.6376,                0.04109,                0.04109,                0.04109
                     20,                 4.2157,                 4.8889,                 2.7611,                0.00054,                0.05882,                0.00044,                0.00014,                 3.7908,                 4.4058,                 2.6761,               0.040595,               0.040595,               0.040595
                     21,                 4.3034,                 5.0213,                 2.6355,                0.00054,                0.05882,                0.00044,                0.00014,                 3.8807,                 4.0826,                  2.734,                 0.0401,                 0.0401,                 0.0401
                     22,                 4.2092,                 4.9736,                 2.5819,                0.00054,                0.05882,                0.00044,                0.00014,                 3.7168,                 4.2449,                 2.6074,               0.039605,               0.039605,               0.039605
                     23,                 4.1455,                 4.9433,                  2.525,                0.00054,                0.05882,                0.00044,                0.00014,                  3.822,                 4.6443,                 2.5888,                0.03911,                0.03911,                0.03911
                     24,                 4.0629,                  4.914,                 2.5425,                0.00054,                0.05882,                0.00044,                0.00014,                 3.6619,                 4.3861,                 2.5838,               0.038615,               0.038615,               0.038615
                     25,                 4.2191,                 5.0197,                 2.6784,                0.00054,                0.05882,                0.00044,                0.00014,                 3.6718,                 4.3972,                 2.6011,                0.03812,                0.03812,                0.03812
                     26,                 4.0945,                 4.9365,                 2.6147,                0.00054,                0.05882,                0.00044,                0.00014,                 3.7058,                  4.328,                 2.5911,               0.037625,               0.037625,               0.037625
                     27,                 4.1663,                 4.8435,                 2.6534,                0.00054,                0.05882,                0.00044,                0.00014,                 3.8475,                 4.3797,                 2.6927,                0.03713,                0.03713,                0.03713
                     28,                 4.2618,                 4.8311,                  2.666,                0.00054,                0.05882,                0.00044,                0.00014,                 3.8968,                 4.4231,                 2.7097,               0.036635,               0.036635,               0.036635
                     29,                 4.1673,                 4.9372,                 2.5793,                0.00054,                0.05882,                0.00044,                0.00014,                 3.8326,                 4.4882,                  2.656,                0.03614,                0.03614,                0.03614
                     30,                 4.1958,                 4.9959,                 2.5462,                0.00054,                0.05882,                0.00044,                0.00014,                  3.683,                 4.3405,                 2.5551,               0.035645,               0.035645,               0.035645
                     31,                 4.0707,                 4.7869,                 2.5966,                0.00054,                0.05882,                0.00044,                0.00014,                 3.6026,                 4.5088,                 2.5154,                0.03515,                0.03515,                0.03515
                     32,                 4.1766,                  4.299,                 2.5905,                0.00131,                0.11765,                0.00113,                0.00031,                 3.5725,                  4.482,                 2.5675,               0.034655,               0.034655,               0.034655
                     33,                 4.2171,                 4.1301,                  2.567,                0.00144,                0.17647,                0.00258,                0.00032,                 3.6655,                 4.4756,                 2.5833,                0.03416,                0.03416,                0.03416
                     34,                  4.255,                 3.8612,                  2.516,                0.00099,                0.17647,                0.00063,                0.00015,                  3.735,                  4.587,                 2.6399,               0.033665,               0.033665,               0.033665
                     35,                 3.9718,                 3.9648,                 2.5424,                0.00234,                0.11765,                0.00225,                0.00066,                 3.6068,                 4.6379,                 2.5016,                0.03317,                0.03317,                0.03317
                     36,                 4.0506,                 4.0252,                 2.4889,                0.00135,                0.20588,                 0.0017,                0.00034,                 3.6767,                 3.9712,                  2.536,               0.032675,               0.032675,               0.032675
                     37,                 4.0673,                 3.7965,                 2.4181,                0.00112,                0.26471,                0.00172,                 0.0003,                 3.7427,                 4.4355,                 2.5547,                0.03218,                0.03218,                0.03218
                     38,                 4.0543,                 3.8203,                 2.3951,                0.00178,                0.32353,                 0.0095,                 0.0012,                 3.5982,                 3.6991,                 2.5112,               0.031685,               0.031685,               0.031685
                     39,                 4.0344,                 3.7966,                   2.43,                0.00147,                0.26471,                0.00463,                0.00087,                 3.6867,                 3.8345,                 2.5713,                0.03119,                0.03119,                0.03119
                     40,                 4.0406,                 3.6521,                  2.388,                0.00211,                0.38235,                0.00772,                 0.0012,                 3.7037,                 3.7033,                  2.523,               0.030695,               0.030695,               0.030695
                     41,                 4.0215,                 3.8307,                  2.389,                0.00233,                0.55882,                0.00713,                  0.001,                 3.5062,                 4.6497,                 2.4595,                 0.0302,                 0.0302,                 0.0302
                     42,                 3.9899,                 3.8566,                 2.3237,                0.00212,                    0.5,                0.00403,                0.00075,                 3.5389,                 3.7961,                 2.5332,               0.029705,               0.029705,               0.029705
                     43,                 3.8613,                 3.6597,                 2.2815,                0.00144,                0.29412,                0.00225,                0.00054,                 3.7236,                 3.7933,                 2.5203,                0.02921,                0.02921,                0.02921
                     44,                 3.8939,                 3.5858,                 2.2539,                0.00211,                0.41176,                 0.0093,                0.00223,                 3.6473,                 3.6611,                 2.3959,               0.028715,               0.028715,               0.028715
                     45,                 3.8207,                 3.6442,                 2.2064,                0.00199,                0.47059,                0.00374,                0.00079,                 3.5951,                 3.9885,                  2.385,                0.02822,                0.02822,                0.02822
                     46,                 3.8246,                 3.5798,                   2.25,                0.00162,                0.41176,                0.00598,                0.00117,                 3.5618,                 4.0912,                 2.4002,               0.027725,               0.027725,               0.027725
                     47,                  3.828,                 3.5724,                 2.3026,                 0.0021,                0.47059,                 0.0107,                0.00304,                  3.446,                 3.5179,                  2.384,                0.02723,                0.02723,                0.02723
                     48,                 3.7277,                 3.5222,                 2.2437,                0.00254,                0.55882,                0.02078,                0.00424,                 3.4097,                 3.4473,                 2.4361,               0.026735,               0.026735,               0.026735
                     49,                 3.7705,                 3.3909,                 2.3937,                0.00272,                0.47059,                0.01457,                0.00412,                 3.4156,                 3.5038,                  2.434,                0.02624,                0.02624,                0.02624
                     50,                 3.8201,                 3.5399,                 2.2687,                0.10339,                0.08818,                0.02306,                0.00474,                 3.4818,                    3.3,                 2.4851,               0.025745,               0.025745,               0.025745
                     51,                 3.6618,                 3.3469,                 2.3822,                0.01177,                0.17647,                0.00615,                0.00174,                 3.3569,                 3.5809,                 2.4674,                0.02525,                0.02525,                0.02525
                     52,                 3.7775,                 3.3701,                 2.3423,                0.00458,                0.41176,                0.00966,                0.00248,                 3.2807,                 3.4267,                 2.3976,               0.024755,               0.024755,               0.024755
                     53,                 3.6626,                 3.2491,                 2.2451,                0.01638,                0.29412,                0.01453,                0.00407,                 3.2299,                  3.532,                 2.3509,                0.02426,                0.02426,                0.02426
                     54,                  3.599,                 3.2481,                 2.2615,                0.02124,                0.20588,                0.01108,                0.00273,                 3.2929,                 3.5697,                 2.3444,               0.023765,               0.023765,               0.023765
                     55,                  3.595,                 3.2585,                 2.2638,                0.00607,                0.55882,                 0.0116,                0.00377,                 3.2423,                 3.5926,                 2.3205,                0.02327,                0.02327,                0.02327
                     56,                 3.5822,                 3.2277,                  2.158,                0.02397,                0.14706,                 0.0117,                0.00391,                 3.0985,                 3.3669,                 2.2661,               0.022775,               0.022775,               0.022775
                     57,                 3.5562,                 3.1161,                  2.246,                0.06264,                0.11765,                0.02318,                0.00662,                 3.1148,                  3.643,                 2.2353,                0.02228,                0.02228,                0.02228
                     58,                 3.5196,                 3.0932,                 2.2021,                 0.0899,                0.05882,                0.02154,                0.00524,                 3.2424,                 3.4641,                 2.2879,               0.021785,               0.021785,               0.021785
                     59,                 3.5019,                 3.0104,                 2.2438,                0.04259,                0.11765,                0.02101,                0.00405,                 3.2343,                 3.3879,                 2.2961,                0.02129,                0.02129,                0.02129
                     60,                 3.3387,                 2.9616,                  2.168,                0.00756,                0.61765,                0.01917,                0.00524,                 3.0557,                 3.2089,                  2.258,               0.020795,               0.020795,               0.020795
                     61,                 3.4185,                 3.0282,                 2.1509,                0.00673,                0.61765,                0.02877,                0.00589,                 3.0947,                 3.1609,                 2.2956,                 0.0203,                 0.0203,                 0.0203
                     62,                  3.357,                 2.9952,                 2.1754,                 0.0861,                0.23529,                0.03802,                0.00948,                 3.1316,                 3.2347,                 2.3054,               0.019805,               0.019805,               0.019805
                     63,                 3.2429,                 3.0425,                 2.1366,                0.02611,                0.38235,                0.03033,                0.00697,                 3.0602,                 3.1556,                 2.2485,                0.01931,                0.01931,                0.01931
                     64,                 3.3556,                 3.0128,                 2.1077,                0.02997,                0.20588,                0.01927,                0.00519,                 3.0241,                 3.5757,                 2.2522,               0.018815,               0.018815,               0.018815
                     65,                 3.3215,                 2.9802,                 2.0729,                0.02336,                0.26471,                0.02903,                0.00596,                 2.9922,                  3.093,                 2.2171,                0.01832,                0.01832,                0.01832
                     66,                 3.2969,                 2.8321,                 2.0789,                0.07849,                0.11765,                0.04575,                0.01322,                 3.0321,                  3.002,                  2.186,               0.017825,               0.017825,               0.017825
                     67,                 3.3317,                 2.9303,                 2.1341,                0.14442,                0.20588,                0.06626,                0.01728,                 3.0623,                 2.8529,                 2.3247,                0.01733,                0.01733,                0.01733
                     68,                 3.1872,                 2.7154,                 2.0344,                0.11005,                0.17647,                0.05221,                0.01645,                 2.9715,                 2.9154,                 2.2447,               0.016835,               0.016835,               0.016835
                     69,                 3.1504,                 2.6866,                 2.0016,                0.13599,                0.15289,                0.05918,                0.01652,                 2.9155,                 2.8823,                  2.248,                0.01634,                0.01634,                0.01634
                     70,                 3.1935,                 2.6166,                 2.0281,                0.09765,                0.20588,                0.06074,                0.01629,                 2.9722,                 2.8781,                 2.2783,               0.015845,               0.015845,               0.015845
                     71,                 3.1819,                 2.8028,                  1.974,                0.10479,                0.14706,                0.06851,                0.01713,                 2.9943,                 2.8517,                 2.2105,                0.01535,                0.01535,                0.01535
                     72,                 2.9978,                 2.5382,                 2.0448,                0.09033,                0.14706,                0.08104,                0.02157,                 3.0231,                 2.6886,                 2.2227,               0.014855,               0.014855,               0.014855
                     73,                 3.1289,                   2.55,                 1.9716,                0.15095,                0.11765,                0.10355,                0.02393,                 3.0027,                 2.7093,                 2.2298,                0.01436,                0.01436,                0.01436
