                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.8698,                 25.141,                 4.3378,                      0,                      0,                      0,                      0,                 5.5893,                 7.0087,                  4.152,                  0.086,                  0.006,                  0.006
                      1,                 5.7693,                 10.518,                 4.2064,                      0,                      0,                      0,                      0,                 5.5541,                 4.7374,                  4.129,               0.071178,               0.012178,               0.012178
                      2,                 5.6559,                 5.8232,                 3.9625,                      0,                      0,                      0,                      0,                 5.2726,                  4.603,                 3.8979,               0.056232,               0.018232,               0.018232
                      3,                 5.2891,                 5.4194,                 3.7243,                      0,                      0,                      0,                      0,                 4.4903,                  4.492,                 3.3556,                0.04116,                0.02416,                0.02416
                      4,                 4.7721,                 4.8874,                  3.196,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028812,               0.028812,               0.028812
                      5,                 4.5412,                  4.913,                 3.0866,                      0,                      0,                      0,                      0,                 5.1411,                  4.481,                  11448,               0.028812,               0.028812,               0.028812
                      6,                  4.343,                 4.8073,                 2.8514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028515,               0.028515,               0.028515
                      7,                 4.4886,                 7.5406,                 2.9323,                      0,                      0,                      0,                      0,                 3.8589,                 4.2301,                 1.9214,               0.028218,               0.028218,               0.028218
                      8,                  4.532,                 4.3792,                 2.8607,                0.00034,                0.02941,                 0.0002,                  6e-05,                 3.7166,                 5.1053,                  3.006,               0.027921,               0.027921,               0.027921
                      9,                 4.3413,                 4.0413,                 2.8447,                0.00034,                0.02941,                 0.0002,                  6e-05,                 4.6745,                 41.779,                 6.5099,               0.027624,               0.027624,               0.027624
                     10,                 4.1795,                 3.7292,                 2.6309,                0.00034,                0.02941,                 0.0002,                  6e-05,                 4.2126,                 348.25,                 289.55,               0.027327,               0.027327,               0.027327
                     11,                 4.1928,                 3.7481,                 2.7029,                0.00034,                0.02941,                 0.0002,                  6e-05,                 4.1441,                 9.1354,                 4.0426,                0.02703,                0.02703,                0.02703
                     12,                 4.0159,                  3.796,                 2.7011,                0.00073,                0.20588,                0.00216,                 0.0004,                 3.7338,                 5.9015,                 2.9695,               0.026733,               0.026733,               0.026733
                     13,                 3.9903,                 3.7919,                 2.5896,                0.00226,                0.58824,                  0.003,                0.00057,                 3.4581,                  3.957,                  2.788,               0.026436,               0.026436,               0.026436
                     14,                 3.7846,                 3.5904,                 2.5428,                0.00191,                0.47059,                0.00304,                0.00089,                 3.1854,                 4.3551,                 2.7012,               0.026139,               0.026139,               0.026139
                     15,                 3.9212,                  3.598,                 2.5598,                0.00144,                0.38235,                0.00311,                0.00047,                 3.4963,                  4.085,                  2.863,               0.025842,               0.025842,               0.025842
                     16,                  3.778,                 3.5586,                 2.4452,                0.00118,                0.29412,                0.00123,                0.00035,                 3.4664,                 3.9372,                 2.7494,               0.025545,               0.025545,               0.025545
                     17,                 3.7594,                 3.3851,                 2.4787,                0.00238,                    0.5,                0.00333,                0.00084,                  3.254,                 3.6275,                 2.6629,               0.025248,               0.025248,               0.025248
                     18,                 3.6283,                 3.3828,                 2.3843,                0.00297,                0.58824,                0.01118,                0.00283,                 3.2689,                  3.635,                 2.5379,               0.024951,               0.024951,               0.024951
                     19,                 3.6137,                 3.4817,                 2.3537,                0.00281,                0.58824,                0.00624,                 0.0018,                 3.2672,                 3.8522,                 2.6481,               0.024654,               0.024654,               0.024654
                     20,                 3.5111,                 3.0892,                 2.4989,                  0.029,                0.14706,                0.01797,                0.00469,                 3.2669,                 2.9569,                 2.6285,               0.024357,               0.024357,               0.024357
                     21,                 3.4874,                 3.1919,                 2.2488,                0.05883,                0.05882,                0.01843,                0.00289,                 3.4835,                 4.6876,                 2.6829,                0.02406,                0.02406,                0.02406
                     22,                 3.2586,                 3.0485,                  2.276,                0.01219,                0.44118,                0.00995,                0.00261,                 3.2113,                 3.3711,                 2.6388,               0.023763,               0.023763,               0.023763
                     23,                 3.2807,                 2.8471,                 2.2347,                0.07207,                0.11765,                0.03727,                  0.008,                 3.0458,                 5.1921,                  2.458,               0.023466,               0.023466,               0.023466
                     24,                 3.2713,                  2.716,                 2.2921,                0.09711,                0.11765,                0.07687,                0.01791,                 3.1227,                 6.7666,                 2.5343,               0.023169,               0.023169,               0.023169
                     25,                 3.3579,                 2.7692,                 2.3219,                 0.0756,                0.26471,                0.07871,                 0.0197,                 3.0715,                 2.9256,                 2.4729,               0.022872,               0.022872,               0.022872
