                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1823,                 3.6918,                 3.2482,                0.03648,                0.03342,                0.00212,                 0.0004,                 4.9486,                 114.57,                 19.295,               0.083547,               0.016453,               0.016453
                      1,                 3.1021,                 3.3435,                 2.9779,                  3e-05,                0.00735,                  2e-05,                      0,                 5.3685,                 9.9368,                 13.022,               0.066552,               0.032792,               0.032792
                      2,                 2.8317,                 3.2239,                 2.8322,                 0.0006,                0.11765,                0.00063,                0.00015,                 4.4223,                 4.5555,                 4.7223,               0.049228,               0.048801,               0.048801
                      3,                  2.741,                 3.1709,                 2.7941,                0.01969,                0.06618,                0.00663,                0.00139,                 3.1974,                 8.8766,                 3.0427,               0.048515,               0.048515,               0.048515
                      4,                 2.6891,                   3.11,                 2.7797,                0.07661,                0.01471,                0.00617,                0.00224,                 4.2987,                 5.0717,                 4.6402,               0.048515,               0.048515,               0.048515
                      5,                 2.6312,                 3.0253,                 2.7722,                0.01072,                0.16176,                0.01032,                0.00163,                 3.4902,                 4.4453,                 3.2173,                0.04802,                0.04802,                0.04802
                      6,                 2.6205,                 2.9947,                  2.726,                0.00112,                0.27941,                0.00086,                0.00021,                 3.0733,                 5.8685,                 3.0915,               0.047525,               0.047525,               0.047525
                      7,                 2.6283,                  2.839,                 2.7091,                0.09389,                0.11765,                0.04396,                0.01392,                 3.2692,                 3.4033,                 2.8727,                0.04703,                0.04703,                0.04703
                      8,                 2.5253,                 2.8249,                 2.6371,                0.06799,                0.11029,                0.02326,                0.00458,                 3.5522,                 8.8874,                 3.3878,               0.046535,               0.046535,               0.046535
                      9,                 2.4867,                 2.7843,                 2.6073,                0.08369,                0.19118,                0.03515,                0.00711,                 3.2034,                 4.7746,                 2.6955,                0.04604,                0.04604,                0.04604
                     10,                 2.4606,                 2.6522,                 2.5792,                0.05176,                0.08824,                0.03144,                0.00629,                 3.6127,                 3.0597,                 3.5283,               0.045545,               0.045545,               0.045545
                     11,                 2.4166,                 2.5926,                 2.5524,                0.17641,                0.16912,                0.04982,                0.01195,                 3.2594,                 3.9274,                 2.7993,                0.04505,                0.04505,                0.04505
                     12,                 2.3472,                 2.6015,                 2.5579,                0.32625,                0.25735,                0.16697,                0.04863,                 2.6206,                 3.0056,                 2.3215,               0.044555,               0.044555,               0.044555
                     13,                 2.3721,                 2.5661,                 2.5391,                0.12629,                0.19853,                0.06287,                0.01423,                 2.8199,                 3.3294,                 2.4681,                0.04406,                0.04406,                0.04406
                     14,                 2.3215,                 2.4989,                 2.5025,                0.22765,                0.14706,                0.10371,                0.02322,                 2.9486,                 3.0041,                 2.5984,               0.043565,               0.043565,               0.043565
                     15,                 2.2628,                 2.4922,                 2.4924,                0.27159,                0.23578,                 0.1701,                0.04418,                 2.8755,                 5.6583,                 2.7498,                0.04307,                0.04307,                0.04307
                     16,                 2.2369,                 2.5341,                 2.4455,                0.26827,                0.09559,                0.08838,                0.02218,                 3.2677,                 6.4092,                 3.4614,               0.042575,               0.042575,               0.042575
                     17,                 2.1522,                 2.3516,                 2.3813,                0.12767,                0.16176,                0.04899,                0.00882,                 3.4096,                 2.9633,                 3.3156,                0.04208,                0.04208,                0.04208
                     18,                 2.1624,                 2.3212,                  2.367,                0.09097,                0.24265,                0.08005,                0.01685,                 2.6304,                  32.26,                 2.3702,               0.041585,               0.041585,               0.041585
                     19,                 2.1477,                   2.37,                 2.3791,                0.05283,                0.02206,                0.00344,                0.00094,                  2.817,                 4.9591,                 2.5336,                0.04109,                0.04109,                0.04109
                     20,                 2.1234,                 2.3239,                 2.3796,                0.00313,                0.31618,                0.00782,                 0.0019,                 2.7661,                 4.5445,                 2.4786,               0.040595,               0.040595,               0.040595
                     21,                 2.1468,                 2.3313,                 2.3645,                0.15026,                0.17647,                0.10452,                 0.0347,                 2.6031,                 3.3848,                  2.284,                 0.0401,                 0.0401,                 0.0401
                     22,                  2.121,                 2.2649,                 2.3507,                0.09479,                0.03676,                0.01539,                0.00624,                 2.5229,                 4.1514,                  2.191,               0.039605,               0.039605,               0.039605
                     23,                 2.1197,                  2.302,                 2.3628,                0.30255,                0.31618,                 0.2036,                0.04713,                 2.9194,                 2.4953,                 2.5993,                0.03911,                0.03911,                0.03911
                     24,                 2.0636,                 2.2103,                 2.2845,                0.18559,                0.25637,                0.13011,                0.04388,                 2.3805,                  4.919,                 2.0346,               0.038615,               0.038615,               0.038615
                     25,                 2.0005,                 2.2049,                 2.2541,                0.01735,                0.02206,                0.00234,                0.00057,                 3.2744,                 4.9891,                 2.9827,                0.03812,                0.03812,                0.03812
                     26,                 2.0361,                 2.1898,                 2.2667,                0.14116,                0.10294,                0.05249,                 0.0131,                 2.6679,                 3.5487,                 2.2847,               0.037625,               0.037625,               0.037625
                     27,                 2.0865,                 2.2039,                 2.3209,                 0.3839,                0.19853,                0.19985,                0.08435,                 2.2121,                 2.9787,                 1.8845,                0.03713,                0.03713,                0.03713
                     28,                 2.0189,                 2.1722,                  2.258,                0.27352,                0.15441,                 0.1285,                0.05689,                 2.7868,                 3.0054,                 2.3231,               0.036635,               0.036635,               0.036635
