                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9513,                 4.3065,                 4.1898,                0.00018,                0.04412,                0.00011,                  3e-05,                 5.0312,                  5.378,                 3.9648,               0.076966,              0.0098718,              0.0098718
                      1,                 3.2083,                  3.689,                 3.5851,                0.00091,                0.22794,                 0.0006,                0.00012,                 3.6099,                 14.407,                 3.7004,               0.053436,               0.019675,               0.019675
                      2,                 2.7971,                 3.1927,                 3.0816,                0.04463,                0.02941,                0.00356,                0.00087,                 3.2822,                 6.7601,                 4.4756,               0.029708,                0.02928,                0.02928
                      3,                 2.6656,                 3.0391,                 2.8551,                0.04556,                0.19118,                0.02306,                0.00604,                 3.0879,                 4.9097,                 2.8686,               0.029109,               0.029109,               0.029109
                      4,                 2.5264,                 2.7689,                 2.7608,                0.01468,                0.01471,                0.00397,                0.00109,                 3.1905,                 9.1843,                 2.8255,               0.029109,               0.029109,               0.029109
                      5,                 2.4049,                 2.5139,                 2.6551,                0.14621,                0.18382,                0.07639,                0.02568,                 2.4969,                 7.4576,                 2.3881,               0.028812,               0.028812,               0.028812
                      6,                 2.2481,                 2.3391,                 2.5133,                0.29577,                0.22059,                0.15774,                0.05313,                 2.3851,                 3.7839,                 2.1616,               0.028515,               0.028515,               0.028515
                      7,                 2.1222,                 2.1803,                 2.4228,                   0.19,                0.27206,                 0.1753,                0.07254,                 2.3595,                 2.9725,                  2.355,               0.028218,               0.028218,               0.028218
                      8,                   2.01,                 1.9969,                 2.3202,                0.35364,                0.38971,                0.32456,                0.12073,                  2.371,                 2.3696,                 2.2715,               0.027921,               0.027921,               0.027921
                      9,                 1.9622,                 1.9496,                  2.253,                0.55292,                0.45588,                0.44449,                0.20331,                 2.0347,                 2.2428,                 1.9585,               0.027624,               0.027624,               0.027624
                     10,                 1.8654,                 1.8404,                 2.1644,                0.51991,                0.42647,                0.41716,                0.19468,                 1.9872,                 2.1591,                 1.9153,               0.027327,               0.027327,               0.027327
                     11,                 1.8323,                 1.7857,                 2.0789,                0.47993,                0.39358,                0.38129,                 0.1883,                 2.0144,                 2.0601,                 1.9422,                0.02703,                0.02703,                0.02703
                     12,                 1.8309,                 1.7604,                 2.0819,                0.62986,                0.35294,                0.42526,                0.21132,                 2.0894,                 2.0365,                 1.9127,               0.026733,               0.026733,               0.026733
                     13,                 1.7724,                 1.6984,                 2.0539,                0.71031,                0.48679,                 0.5401,                0.26837,                 1.8459,                   1.83,                 1.7903,               0.026436,               0.026436,               0.026436
                     14,                 1.7029,                 1.6115,                 1.9788,                0.51339,                0.53676,                0.48803,                0.25421,                 1.8069,                 2.4287,                 1.6893,               0.026139,               0.026139,               0.026139
                     15,                 1.7242,                 1.6141,                 1.9717,                0.62951,                0.45588,                0.48361,                0.24391,                 1.9322,                 1.9141,                 1.8419,               0.025842,               0.025842,               0.025842
                     16,                 1.6986,                 1.6115,                 1.9616,                0.68296,                0.49105,                0.53217,                0.26638,                 1.9268,                 1.7728,                 1.8348,               0.025545,               0.025545,               0.025545
                     17,                  1.631,                 1.5159,                 1.8933,                0.56961,                0.41845,                0.44467,                0.23412,                 1.8685,                 2.0343,                 1.8057,               0.025248,               0.025248,               0.025248
                     18,                 1.6007,                 1.4866,                 1.8887,                 0.6049,                0.45031,                0.47973,                0.25533,                 1.7805,                 1.8728,                 1.7719,               0.024951,               0.024951,               0.024951
                     19,                 1.6504,                 1.4572,                 1.8922,                0.72417,                0.54412,                0.61845,                0.32405,                 1.7544,                 1.5691,                 1.6447,               0.024654,               0.024654,               0.024654
                     20,                 1.5725,                 1.3886,                 1.8204,                0.75118,                0.51471,                0.59157,                 0.2967,                 1.8873,                 1.6717,                 1.7913,               0.024357,               0.024357,               0.024357
                     21,                 1.5752,                 1.3707,                 1.7948,                0.62511,                0.53948,                0.57972,                0.30349,                 1.6648,                 1.6542,                 1.6629,                0.02406,                0.02406,                0.02406
                     22,                 1.5544,                 1.3568,                 1.7912,                0.72751,                    0.5,                0.57467,                0.25888,                 2.0138,                 1.6101,                 1.8472,               0.023763,               0.023763,               0.023763
                     23,                 1.5413,                 1.3494,                 1.7753,                0.77024,                 0.5423,                0.61401,                0.36638,                 1.6263,                 1.4993,                 1.5135,               0.023466,               0.023466,               0.023466
                     24,                 1.5216,                 1.3029,                 1.7601,                0.78529,                    0.5,                0.61455,                0.34424,                 1.6479,                 1.4362,                  1.526,               0.023169,               0.023169,               0.023169
                     25,                  1.457,                 1.2325,                 1.7234,                0.80277,                0.53872,                0.63192,                0.32529,                 1.7843,                 1.6035,                 1.5971,               0.022872,               0.022872,               0.022872
                     26,                 1.4948,                 1.2823,                 1.7352,                0.64485,                 0.6008,                0.60829,                0.32603,                 1.6469,                 1.8214,                 1.6091,               0.022575,               0.022575,               0.022575
                     27,                 1.4831,                 1.2844,                 1.7195,                0.78982,                0.60789,                 0.6807,                 0.3617,                 1.6418,                 1.4106,                  1.567,               0.022278,               0.022278,               0.022278
                     28,                  1.443,                 1.1991,                 1.6956,                0.78074,                0.60294,                0.65977,                0.39965,                 1.4738,                 1.3768,                 1.5249,               0.021981,               0.021981,               0.021981
                     29,                 1.4031,                 1.2023,                 1.6637,                 0.8328,                0.61765,                0.71864,                0.44185,                 1.4633,                 1.2696,                 1.4749,               0.021684,               0.021684,               0.021684
                     30,                  1.405,                 1.1709,                  1.649,                0.92894,                0.56618,                 0.7119,                0.45272,                 1.5237,                 1.3264,                  1.501,               0.021387,               0.021387,               0.021387
                     31,                 1.4159,                 1.1534,                 1.6416,                0.86049,                0.55882,                0.68764,                  0.427,                 1.4935,                 1.3732,                 1.4755,                0.02109,                0.02109,                0.02109
                     32,                 1.3537,                 1.1131,                 1.5985,                0.79327,                0.65441,                0.68024,                0.36446,                 1.5723,                 1.4633,                 1.4617,               0.020793,               0.020793,               0.020793
                     33,                 1.4049,                 1.1663,                 1.6204,                0.69241,                0.56618,                0.63967,                0.38139,                 1.5211,                 1.4653,                 1.4368,               0.020496,               0.020496,               0.020496
                     34,                 1.3271,                 1.1084,                 1.5775,                0.87751,                0.57353,                0.70611,                0.45409,                 1.3969,                 1.3188,                 1.3962,               0.020199,               0.020199,               0.020199
                     35,                 1.3472,                 1.0892,                 1.5865,                0.71366,                0.66912,                0.69239,                0.46529,                 1.4087,                 1.2274,                 1.3891,               0.019902,               0.019902,               0.019902
                     36,                 1.3165,                 1.1126,                 1.5517,                0.82298,                0.68382,                0.75736,                0.46407,                 1.3678,                 1.1696,                 1.3845,               0.019605,               0.019605,               0.019605
                     37,                 1.2995,                 1.0437,                 1.5548,                0.85809,                0.62246,                0.69788,                0.45637,                  1.352,                 1.1953,                  1.371,               0.019308,               0.019308,               0.019308
                     38,                 1.3195,                 1.0504,                 1.5654,                 0.8692,                0.64706,                0.75074,                0.49465,                 1.3683,                 1.1794,                 1.3458,               0.019011,               0.019011,               0.019011
                     39,                 1.2705,                 1.0065,                 1.5195,                0.96824,                0.67254,                0.78772,                0.52493,                 1.3282,                  1.143,                 1.3446,               0.018714,               0.018714,               0.018714
                     40,                 1.2872,                0.98473,                  1.532,                0.77855,                0.69798,                0.73312,                0.45347,                 1.4158,                 1.1825,                 1.4618,               0.018417,               0.018417,               0.018417
                     41,                 1.2741,                0.98273,                 1.5121,                0.86758,                0.66912,                0.76194,                0.51195,                 1.2716,                 1.0675,                  1.297,                0.01812,                0.01812,                0.01812
                     42,                 1.2572,                0.97103,                 1.4839,                0.83501,                0.63261,                 0.6964,                0.45297,                 1.3101,                 1.3259,                 1.3219,               0.017823,               0.017823,               0.017823
                     43,                 1.2395,                 0.9573,                 1.5069,                0.90183,                0.63235,                0.72267,                0.49103,                  1.295,                 1.1853,                 1.3394,               0.017526,               0.017526,               0.017526
                     44,                 1.2398,                0.94237,                 1.4898,                0.86453,                0.70387,                0.76908,                0.53181,                 1.2802,                 1.0594,                 1.3281,               0.017229,               0.017229,               0.017229
                     45,                 1.2325,                0.93656,                  1.467,                0.87263,                0.69118,                0.76829,                0.50013,                  1.344,                 1.1327,                  1.353,               0.016932,               0.016932,               0.016932
                     46,                 1.2145,                0.88793,                 1.4502,                0.89381,                0.66912,                0.77327,                0.54481,                 1.1723,                0.99881,                 1.2153,               0.016635,               0.016635,               0.016635
                     47,                 1.2465,                0.91902,                 1.4668,                 0.8991,                0.65441,                 0.7648,                0.53238,                 1.2421,                 1.1517,                  1.317,               0.016338,               0.016338,               0.016338
                     48,                 1.2206,                 0.9088,                 1.4597,                0.91688,                 0.6489,                0.77153,                0.53714,                 1.2586,                 1.0534,                 1.2995,               0.016041,               0.016041,               0.016041
                     49,                 1.1893,                 0.9026,                 1.4277,                0.77174,                0.68382,                0.72864,                 0.4769,                 1.2868,                 1.3069,                 1.2634,               0.015744,               0.015744,               0.015744
                     50,                 1.1689,                0.86682,                 1.4135,                0.87597,                0.67647,                0.76494,                0.54311,                 1.1327,                0.99438,                 1.2073,               0.015447,               0.015447,               0.015447
                     51,                 1.1643,                0.87195,                 1.4049,                0.88986,                0.71285,                0.78576,                0.52467,                 1.2068,                0.98963,                 1.2523,                0.01515,                0.01515,                0.01515
                     52,                 1.1669,                0.86821,                 1.4151,                0.85644,                0.72794,                0.80609,                0.56138,                 1.1761,                0.98831,                 1.2122,               0.014853,               0.014853,               0.014853
                     53,                   1.18,                0.86658,                 1.4034,                0.87925,                0.74954,                0.82132,                0.59487,                 1.0933,                0.97766,                 1.1776,               0.014556,               0.014556,               0.014556
                     54,                 1.1613,                0.84041,                 1.3874,                 0.8933,                0.67715,                0.78793,                0.55772,                 1.1553,                 1.0625,                 1.2199,               0.014259,               0.014259,               0.014259
                     55,                 1.1521,                0.83395,                  1.393,                0.82967,                0.78676,                0.82759,                0.51642,                 1.2426,                0.93303,                 1.2137,               0.013962,               0.013962,               0.013962
                     56,                 1.1425,                0.85088,                 1.3848,                0.90531,                0.68382,                0.82531,                0.59752,                 1.0774,                0.90869,                 1.1706,               0.013665,               0.013665,               0.013665
                     57,                 1.1029,                0.79257,                 1.3613,                0.88512,                0.73649,                0.84521,                0.60671,                 1.0514,                0.86486,                 1.1302,               0.013368,               0.013368,               0.013368
                     58,                  1.122,                0.79693,                 1.3653,                0.86812,                0.77444,                0.84628,                0.59779,                 1.1149,                0.91189,                 1.1826,               0.013071,               0.013071,               0.013071
                     59,                 1.1352,                0.82713,                 1.3786,                0.88257,                0.71845,                0.81639,                0.55767,                 1.1464,                0.96117,                 1.1641,               0.012774,               0.012774,               0.012774
                     60,                 1.1169,                0.79621,                 1.3553,                0.93633,                0.68382,                0.81673,                0.58538,                  1.098,                0.96695,                 1.1509,               0.012477,               0.012477,               0.012477
                     61,                 1.1132,                0.80577,                 1.3709,                0.90925,                0.74265,                0.81878,                0.57732,                 1.1547,                0.91536,                 1.1863,                0.01218,                0.01218,                0.01218
                     62,                 1.1148,                0.77624,                 1.3509,                0.94682,                0.69853,                0.83212,                0.61498,                 1.0776,                 0.8714,                 1.1393,               0.011883,               0.011883,               0.011883
                     63,                 1.0947,                0.77966,                 1.3503,                 0.8972,                0.72059,                0.81808,                0.57798,                  1.101,                 0.9069,                 1.1649,               0.011586,               0.011586,               0.011586
                     64,                 1.0619,                0.75142,                 1.3279,                0.92443,                0.69853,                0.83005,                0.61443,                 1.0108,                0.84122,                 1.1383,               0.011289,               0.011289,               0.011289
                     65,                 1.1024,                0.75329,                 1.3815,                0.91702,                0.73135,                0.83209,                0.61205,                 1.0724,                0.82606,                  1.149,               0.010992,               0.010992,               0.010992
                     66,                 1.0676,                0.76612,                 1.3286,                0.81561,                0.78061,                0.83919,                0.62761,                 1.0109,                0.81694,                 1.1234,               0.010695,               0.010695,               0.010695
                     67,                 1.0701,                0.76634,                 1.3214,                0.87766,                0.73852,                0.80882,                0.59739,                 1.1118,                 0.8314,                 1.1504,               0.010398,               0.010398,               0.010398
                     68,                 1.0465,                0.72205,                 1.3106,                0.92778,                   0.75,                0.85526,                0.63297,                 1.0586,                0.83185,                 1.1435,               0.010101,               0.010101,               0.010101
                     69,                 1.0715,                0.74416,                 1.3195,                0.87799,                   0.75,                0.84463,                0.63095,                 1.0595,                0.83242,                  1.137,               0.009804,               0.009804,               0.009804
                     70,                 1.0716,                0.75458,                 1.3034,                0.95299,                0.74534,                0.84951,                0.61636,                 1.0761,                0.84242,                 1.1343,               0.009507,               0.009507,               0.009507
                     71,                 1.0534,                0.71644,                 1.3115,                0.88728,                0.71324,                0.81981,                0.61377,                 1.0331,                0.87599,                 1.1286,                0.00921,                0.00921,                0.00921
                     72,                 0.9986,                0.68412,                 1.2739,                0.91707,                0.74265,                0.84912,                0.64587,                0.99402,                0.78878,                 1.0812,               0.008913,               0.008913,               0.008913
                     73,                  1.027,                0.70568,                 1.2831,                0.92859,                0.73529,                0.84296,                0.65761,                0.92361,                0.78266,                 1.0692,               0.008616,               0.008616,               0.008616
                     74,                 1.0472,                0.71964,                  1.294,                0.95397,                0.76189,                0.86055,                0.66222,                0.99895,                0.78961,                 1.1065,               0.008319,               0.008319,               0.008319
                     75,                 1.0119,                0.70706,                 1.2786,                 0.8796,                0.75207,                0.84404,                0.64085,                0.95248,                0.80585,                 1.0789,               0.008022,               0.008022,               0.008022
                     76,                  1.008,                0.67191,                 1.2792,                0.88966,                0.78676,                0.86043,                0.67222,                0.95763,                0.78604,                 1.0725,               0.007725,               0.007725,               0.007725
                     77,                 1.0085,                0.67725,                 1.2697,                0.87709,                 0.7346,                0.82741,                0.62813,                 0.9686,                0.79655,                 1.0833,               0.007428,               0.007428,               0.007428
                     78,                 1.0149,                0.68395,                 1.2813,                0.90038,                0.79748,                0.85313,                0.66289,                0.95409,                0.79757,                 1.0814,               0.007131,               0.007131,               0.007131
                     79,                 1.0156,                0.69424,                 1.2765,                0.87333,                0.76041,                0.85142,                0.66343,                0.95228,                0.81993,                 1.0844,               0.006834,               0.006834,               0.006834
                     80,                0.99057,                0.65153,                 1.2646,                 0.9061,                0.78046,                0.86447,                0.66017,                0.90787,                0.75455,                 1.0419,               0.006537,               0.006537,               0.006537
                     81,                 1.0277,                0.65862,                 1.2716,                0.86148,                0.76471,                0.85254,                0.65416,                0.92622,                0.77218,                  1.064,                0.00624,                0.00624,                0.00624
                     82,                0.98585,                0.66179,                 1.2592,                0.84195,                0.78339,                 0.8426,                0.63896,                0.99598,                0.83147,                 1.0822,               0.005943,               0.005943,               0.005943
