                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3363,                 4.1985,                 3.2965,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.083547,               0.016453,               0.016453
                      1,                 3.2157,                 3.6754,                 3.1193,                      0,                      0,                      0,                      0,                 4.8605,                    inf,                 7.8068,               0.066552,               0.032792,               0.032792
                      2,                 3.0165,                 3.7043,                 3.0408,                      0,                      0,                      0,                      0,                 4.0605,                 6.4802,                 4.1035,               0.049228,               0.048801,               0.048801
                      3,                 2.8953,                 3.6952,                 2.9203,                0.00077,                0.19118,                0.00047,                0.00011,                  3.966,                 4.0921,                 3.6808,               0.048515,               0.048515,               0.048515
                      4,                 2.8044,                 3.6528,                 2.8747,                0.00074,                0.18382,                 0.0012,                0.00021,                 3.9716,                 4.0822,                 5.3361,               0.048515,               0.048515,               0.048515
                      5,                 2.7726,                 3.6255,                 2.8208,                0.00122,                0.27941,                0.00437,                0.00072,                 3.8496,                 3.3471,                 3.2535,                0.04802,                0.04802,                0.04802
                      6,                 2.7129,                 3.3654,                 2.8002,                  9e-05,                0.02206,                  7e-05,                  2e-05,                 5.1378,                 5.7709,                 4.0429,               0.047525,               0.047525,               0.047525
                      7,                 2.6376,                 3.1767,                 2.7233,                0.00142,                0.13235,                0.00159,                0.00033,                  3.246,                 4.0648,                 2.5984,                0.04703,                0.04703,                0.04703
                      8,                 2.5863,                 3.0719,                 2.6996,                0.00086,                0.21324,                0.00326,                0.00048,                 3.8972,                 5.7535,                 3.7977,               0.046535,               0.046535,               0.046535
                      9,                 2.5516,                 3.0586,                 2.6652,                  0.078,                0.04412,                0.01704,                0.00433,                 3.8008,                 6.4423,                 4.1696,                0.04604,                0.04604,                0.04604
                     10,                 2.5099,                 2.9419,                 2.6895,                0.00148,                0.36765,                 0.0017,                0.00032,                 3.5695,                 6.3389,                 3.2272,               0.045545,               0.045545,               0.045545
