                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8971,                  4.265,                 4.1385,                0.00024,                0.05882,                0.00013,                  4e-05,                 4.6378,                 4.9885,                 3.7118,               0.083547,               0.016453,               0.016453
                      1,                 3.2148,                 3.7395,                  3.465,                  6e-05,                0.01471,                  3e-05,                      0,                 4.6237,                  6.984,                 6.1116,               0.066552,               0.032792,               0.032792
                      2,                 2.9188,                 3.3262,                  3.098,                  6e-05,                0.01471,                  3e-05,                      0,                  4.862,                 8.0505,                 7.7412,               0.049228,               0.048801,               0.048801
                      3,                 2.7934,                 3.2326,                 2.9083,                0.00533,                0.00735,                0.00145,                0.00033,                 4.1637,                 5.5915,                  7.838,               0.048515,               0.048515,               0.048515
                      4,                 2.6878,                 3.0238,                 2.8236,                0.03166,                0.08088,                0.00591,                0.00164,                 3.5724,                 6.3368,                 3.2714,               0.048515,               0.048515,               0.048515
                      5,                 2.5792,                 2.8234,                 2.6855,                0.01786,                0.30882,                0.01658,                0.00405,                 2.9569,                 7.4264,                 2.7698,                0.04802,                0.04802,                0.04802
                      6,                 2.4935,                 2.6441,                 2.6014,                0.03957,                  0.125,                0.01795,                 0.0045,                 3.0276,                 4.6204,                 2.7196,               0.047525,               0.047525,               0.047525
                      7,                   2.38,                 2.4844,                 2.5911,                 0.0826,                0.25735,                0.06399,                0.01865,                 2.6798,                 3.1788,                 2.3011,                0.04703,                0.04703,                0.04703
                      8,                 2.2749,                 2.3636,                 2.5202,                0.27827,                0.23529,                0.12889,                0.05862,                 2.4995,                 3.1782,                 2.3185,               0.046535,               0.046535,               0.046535
                      9,                  2.195,                 2.2723,                 2.4472,                0.35914,                0.26471,                0.22231,                0.07859,                 2.4033,                 2.6711,                 2.2555,                0.04604,                0.04604,                0.04604
                     10,                 2.0796,                 2.1552,                 2.3847,                0.42441,                0.40441,                 0.3728,                0.14335,                 2.3892,                 2.2515,                 2.1166,               0.045545,               0.045545,               0.045545
                     11,                 2.0237,                 2.1064,                 2.3265,                0.33983,                0.36029,                0.24917,                0.10562,                 2.2334,                 2.8007,                 2.0786,                0.04505,                0.04505,                0.04505
                     12,                 2.0108,                 2.0599,                 2.2803,                0.47621,                0.36029,                0.35076,                0.16641,                 2.1725,                  2.283,                 2.0433,               0.044555,               0.044555,               0.044555
                     13,                 1.9512,                 2.0053,                 2.2358,                0.60152,                0.44853,                0.45265,                0.20984,                 2.1166,                 2.0818,                 2.0421,                0.04406,                0.04406,                0.04406
                     14,                 1.8898,                 1.9066,                  2.165,                0.49728,                0.36029,                0.38348,                0.18977,                 1.9852,                 3.2784,                 1.9441,               0.043565,               0.043565,               0.043565
                     15,                 1.9023,                 1.8922,                 2.1458,                0.54929,                  0.466,                0.43306,                0.20702,                 2.0093,                 2.3248,                 1.9459,                0.04307,                0.04307,                0.04307
                     16,                 1.8648,                 1.9016,                 2.1394,                0.63446,                0.40441,                0.49998,                0.22626,                 2.0968,                 1.8634,                 1.9594,               0.042575,               0.042575,               0.042575
                     17,                 1.8081,                 1.7641,                 2.0699,                0.71694,                 0.3725,                0.47175,                0.22236,                 2.0551,                 1.9409,                 1.9333,                0.04208,                0.04208,                0.04208
                     18,                 1.7838,                 1.7742,                 2.0427,                0.55084,                 0.3607,                0.40237,                0.18446,                 2.1408,                 2.1127,                 2.0067,               0.041585,               0.041585,               0.041585
                     19,                 1.7642,                 1.6986,                 1.9936,                0.46978,                0.41696,                 0.3932,                0.18503,                 2.0414,                 2.1098,                 1.9026,                0.04109,                0.04109,                0.04109
                     20,                 1.7348,                 1.6354,                 1.9731,                0.58138,                0.54124,                0.52988,                0.27048,                 1.9596,                  1.856,                 1.8933,               0.040595,               0.040595,               0.040595
                     21,                 1.7574,                 1.6533,                 1.9673,                 0.5684,                0.49265,                0.48339,                0.24431,                 1.9644,                 1.9395,                 1.8265,                 0.0401,                 0.0401,                 0.0401
                     22,                 1.7206,                 1.5985,                 1.9494,                0.64945,                0.55882,                0.53601,                0.27492,                 1.8714,                 1.8312,                 1.8045,               0.039605,               0.039605,               0.039605
                     23,                 1.6906,                 1.5907,                  1.935,                 0.7056,                0.54633,                0.55984,                0.32244,                 1.6443,                 1.6144,                 1.6665,                0.03911,                0.03911,                0.03911
                     24,                 1.6797,                 1.5184,                  1.905,                0.58919,                0.50735,                0.51036,                0.26879,                 1.7911,                 1.7815,                 1.7731,               0.038615,               0.038615,               0.038615
                     25,                 1.6134,                 1.4448,                 1.8611,                0.66952,                0.47059,                0.53253,                0.27384,                 1.7908,                 1.6704,                 1.6947,                0.03812,                0.03812,                0.03812
                     26,                 1.6312,                 1.4661,                 1.8554,                0.73964,                0.63235,                0.63773,                0.32803,                 1.7248,                 1.6016,                 1.7098,               0.037625,               0.037625,               0.037625
