                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3834,                  1.177,                 1.6199,                0.86576,                0.55882,                0.71796,                0.47366,                 1.4373,                 1.3552,                 1.4259,               0.006733,               0.006733,               0.006733
                     35,                  1.359,                 1.1234,                 1.6013,                0.88991,                0.59438,                 0.7095,                 0.4408,                 1.4417,                 1.3672,                 1.4093,               0.006634,               0.006634,               0.006634
                     36,                 1.3691,                 1.1482,                 1.5831,                0.78165,                0.64706,                0.70894,                0.48384,                  1.371,                 1.3495,                 1.3439,               0.006535,               0.006535,               0.006535
                     37,                 1.3529,                 1.0938,                 1.5735,                0.83393,                0.67647,                0.73259,                0.47273,                 1.3175,                 1.2999,                 1.3224,               0.006436,               0.006436,               0.006436
                     38,                 1.3331,                 1.1164,                 1.5692,                0.80399,                0.57306,                0.67001,                0.43868,                 1.3945,                 1.3301,                 1.3929,               0.006337,               0.006337,               0.006337
                     39,                 1.3386,                 1.1043,                 1.5579,                0.76702,                0.62941,                0.66117,                0.40096,                  1.509,                 1.4302,                  1.406,               0.006238,               0.006238,               0.006238
                     40,                 1.3287,                 1.0707,                 1.5478,                0.82797,                0.66176,                0.75252,                0.47171,                  1.386,                 1.3382,                 1.3424,               0.006139,               0.006139,               0.006139
                     41,                 1.3191,                 1.0541,                 1.5416,                0.80226,                0.64706,                0.69597,                0.46098,                 1.3297,                 1.2175,                 1.3168,                0.00604,                0.00604,                0.00604
                     42,                 1.3281,                 1.0966,                 1.5345,                0.80139,                0.59338,                0.65092,                0.44263,                 1.3618,                 1.3839,                 1.3718,               0.005941,               0.005941,               0.005941
                     43,                 1.3236,                 1.0724,                 1.5472,                0.91701,                0.65003,                0.78199,                0.52839,                 1.3091,                 1.1182,                 1.3144,               0.005842,               0.005842,               0.005842
                     44,                 1.2929,                  1.026,                 1.5145,                0.90492,                0.62983,                0.75906,                0.53199,                 1.1995,                 1.1279,                 1.2589,               0.005743,               0.005743,               0.005743
                     45,                 1.2878,                 1.0045,                 1.5059,                0.83667,                0.67801,                0.76112,                0.52043,                 1.2305,                  1.105,                 1.2563,               0.005644,               0.005644,               0.005644
                     46,                 1.2739,                 1.0156,                 1.5042,                0.80231,                0.69853,                0.77907,                0.50619,                 1.2705,                 1.0621,                 1.3046,               0.005545,               0.005545,               0.005545
                     47,                 1.2755,                0.99474,                 1.5093,                0.82066,                0.66176,                0.76059,                0.53062,                 1.2269,                 1.1146,                 1.2661,               0.005446,               0.005446,               0.005446
                     48,                 1.2228,                0.96358,                 1.4586,                0.83093,                0.71324,                0.78135,                0.54401,                 1.2069,                 1.0916,                 1.2297,               0.005347,               0.005347,               0.005347
                     49,                 1.2688,                0.98573,                 1.4835,                0.88978,                0.65298,                0.75259,                0.49993,                 1.2799,                 1.1812,                 1.2522,               0.005248,               0.005248,               0.005248
