                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9541,                 4.2959,                 4.1763,                0.00018,                0.04412,                0.00011,                  3e-05,                  5.109,                 5.4943,                 4.0164,               0.070385,              0.0032906,              0.0032906
                      1,                  3.726,                 4.0404,                 3.9795,                0.00027,                0.06618,                0.00022,                  6e-05,                 4.6132,                 3.9503,                 3.6749,               0.040319,              0.0065584,              0.0065584
                      2,                 3.2013,                 3.3898,                 3.5058,                0.03084,                0.07353,                0.00714,                0.00115,                 3.7723,                 15.819,                 3.5715,               0.010187,              0.0097601,              0.0097601
                      3,                 2.9059,                 2.8876,                 3.1559,                0.16341,                0.16912,                0.12835,                0.04238,                  2.765,                  19.38,                 2.9457,               0.009703,               0.009703,               0.009703
                      4,                 2.6213,                 2.6396,                 2.9039,                0.24544,                  0.125,                0.10834,                0.03349,                 2.6288,                 4.1856,                 2.5319,               0.009703,               0.009703,               0.009703
                      5,                 2.4081,                  2.466,                 2.7026,                0.13899,                0.16176,                 0.0728,                0.02083,                 2.7521,                 4.0776,                 2.6048,               0.009604,               0.009604,               0.009604
                      6,                 2.2345,                 2.1821,                 2.5256,                0.36671,                0.42647,                0.31141,                 0.1006,                 2.5981,                  2.327,                 2.2694,               0.009505,               0.009505,               0.009505
                      7,                 2.0587,                 1.9486,                 2.3848,                0.60735,                0.40947,                0.43463,                0.16696,                 2.2557,                 2.1759,                 2.0899,               0.009406,               0.009406,               0.009406
                      8,                 1.9068,                 1.8092,                   2.27,                0.61878,                0.40581,                0.42639,                0.22126,                 2.0322,                 2.0876,                 2.0375,               0.009307,               0.009307,               0.009307
                      9,                 1.8442,                 1.7217,                 2.1774,                0.67591,                0.49265,                0.52122,                0.25765,                 2.0229,                 1.8959,                 1.9548,               0.009208,               0.009208,               0.009208
                     10,                 1.7698,                 1.5922,                 2.1106,                0.68531,                0.54412,                0.55284,                0.22276,                  2.208,                 1.8115,                 2.1432,               0.009109,               0.009109,               0.009109
                     11,                 1.7008,                 1.5377,                 1.9913,                0.67474,                0.58088,                 0.5818,                0.30791,                 1.7628,                 1.8258,                 1.7815,                0.00901,                0.00901,                0.00901
                     12,                 1.6771,                 1.5106,                 1.9585,                0.69624,                0.55619,                0.56976,                 0.3045,                 1.7678,                 1.7465,                 1.7659,               0.008911,               0.008911,               0.008911
                     13,                 1.6303,                 1.4501,                 1.9271,                 0.5522,                0.51685,                0.53259,                0.25091,                 1.9276,                 1.7505,                 1.7435,               0.008812,               0.008812,               0.008812
                     14,                 1.5377,                 1.3602,                 1.8524,                0.73954,                0.62634,                0.61079,                0.34237,                 1.6811,                 1.6163,                 1.6335,               0.008713,               0.008713,               0.008713
                     15,                 1.5244,                 1.3336,                 1.8063,                0.76654,                0.53676,                0.63611,                0.34782,                 1.7006,                 1.6617,                   1.66,               0.008614,               0.008614,               0.008614
                     16,                 1.5088,                 1.3075,                 1.8096,                0.76044,                0.61029,                0.64947,                0.33972,                 1.7703,                 1.4587,                 1.6742,               0.008515,               0.008515,               0.008515
                     17,                 1.4659,                 1.2313,                  1.751,                   0.84,                0.55882,                0.64623,                0.35515,                 1.6585,                 1.4902,                 1.6541,               0.008416,               0.008416,               0.008416
                     18,                 1.4142,                 1.2095,                  1.718,                0.90553,                0.52206,                0.67278,                0.38984,                 1.6605,                 1.4153,                 1.6881,               0.008317,               0.008317,               0.008317
                     19,                 1.4488,                 1.1923,                 1.7182,                0.78262,                0.58824,                0.69166,                0.41004,                  1.514,                 1.5028,                 1.4845,               0.008218,               0.008218,               0.008218
                     20,                 1.3772,                 1.1127,                 1.6626,                 0.8438,                  0.625,                 0.7348,                0.45272,                 1.4751,                 1.2558,                 1.4597,               0.008119,               0.008119,               0.008119
                     21,                 1.3873,                 1.1131,                 1.6389,                0.88313,                0.64706,                0.74166,                0.45663,                 1.4632,                 1.2276,                 1.4629,                0.00802,                0.00802,                0.00802
                     22,                 1.3839,                 1.0552,                 1.6421,                0.81286,                0.63877,                0.70048,                0.43663,                 1.4621,                 1.4317,                 1.5022,               0.007921,               0.007921,               0.007921
                     23,                 1.3226,                 1.0571,                 1.5995,                0.90693,                0.66912,                0.76784,                0.48923,                 1.4292,                 1.1444,                 1.4366,               0.007822,               0.007822,               0.007822
                     24,                 1.3407,                 1.0251,                 1.6244,                0.84572,                0.68524,                0.76321,                0.50247,                 1.3478,                 1.1397,                 1.3705,               0.007723,               0.007723,               0.007723
                     25,                 1.2624,                0.98417,                 1.5484,                 0.8145,                0.65441,                0.71238,                0.45706,                 1.4353,                  1.209,                 1.4349,               0.007624,               0.007624,               0.007624
                     26,                 1.2925,                0.97158,                 1.5521,                0.82601,                  0.625,                0.74237,                0.48025,                 1.4063,                 1.2296,                 1.4244,               0.007525,               0.007525,               0.007525
                     27,                 1.2922,                 1.0161,                 1.5551,                0.77998,                  0.625,                0.71957,                0.46781,                 1.4168,                 1.2506,                 1.4793,               0.007426,               0.007426,               0.007426
                     28,                 1.2424,                0.94342,                 1.5285,                0.90986,                0.64706,                0.75845,                0.52539,                 1.2466,                 1.1294,                 1.2895,               0.007327,               0.007327,               0.007327
                     29,                 1.2276,                0.94595,                 1.5121,                0.89861,                0.63971,                0.76135,                 0.5279,                 1.3181,                 1.0819,                  1.305,               0.007228,               0.007228,               0.007228
                     30,                 1.2546,                0.95191,                 1.5205,                0.89354,                0.64706,                0.77929,                0.55678,                 1.2332,                 1.0389,                 1.3205,               0.007129,               0.007129,               0.007129
                     31,                 1.2373,                0.92333,                 1.4918,                0.79159,                 0.6703,                0.77644,                0.49021,                 1.4423,                 1.1354,                 1.3472,                0.00703,                0.00703,                0.00703
                     32,                 1.1827,                0.89358,                 1.4516,                0.83913,                0.72876,                0.77633,                0.54614,                 1.1968,                0.97339,                 1.2248,               0.006931,               0.006931,               0.006931
                     33,                 1.2233,                0.92855,                 1.4786,                0.88471,                0.69118,                0.81933,                0.48689,                 1.3956,                  1.081,                 1.3231,               0.006832,               0.006832,               0.006832
                     34,                 1.1646,                0.88875,                 1.4455,                0.88159,                0.67647,                0.76544,                0.53138,                 1.2178,                 1.0957,                 1.2795,               0.006733,               0.006733,               0.006733
                     35,                  1.193,                0.86391,                 1.4602,                0.87134,                0.69853,                0.78915,                0.54341,                 1.2036,                 1.0725,                 1.2642,               0.006634,               0.006634,               0.006634
                     36,                 1.1597,                0.94967,                 1.4141,                 0.9185,                0.65441,                0.75737,                0.54124,                 1.2407,                 1.0348,                 1.2981,               0.006535,               0.006535,               0.006535
                     37,                  1.145,                0.83649,                 1.4317,                0.96657,                0.63777,                0.78673,                 0.5474,                 1.1894,                 1.0189,                 1.2337,               0.006436,               0.006436,               0.006436
                     38,                 1.1571,                 0.8522,                 1.4293,                0.93451,                0.69118,                0.80466,                0.56653,                 1.2322,                 0.9614,                  1.263,               0.006337,               0.006337,               0.006337
                     39,                 1.1084,                0.80654,                 1.3969,                0.77986,                0.74265,                0.77949,                0.54931,                 1.2179,                0.95748,                 1.2166,               0.006238,               0.006238,               0.006238
                     40,                   1.16,                0.82243,                 1.4251,                0.85015,                0.73529,                0.81104,                 0.5777,                 1.0884,                0.94422,                 1.2081,               0.006139,               0.006139,               0.006139
                     41,                 1.1364,                0.81572,                 1.4006,                0.90132,                0.71324,                0.83075,                0.58855,                 1.1182,                0.85482,                 1.1838,                0.00604,                0.00604,                0.00604
                     42,                 1.1079,                0.79787,                 1.3719,                0.89794,                0.69118,                0.79982,                0.56859,                 1.1783,                0.99516,                 1.2032,               0.005941,               0.005941,               0.005941
                     43,                 1.0871,                 0.7947,                 1.3826,                0.86336,                0.69118,                0.81358,                0.57288,                 1.1475,                0.95323,                 1.2006,               0.005842,               0.005842,               0.005842
                     44,                  1.102,                0.77817,                 1.3785,                0.93734,                0.67647,                0.78714,                0.58156,                 1.1178,                0.95531,                 1.2032,               0.005743,               0.005743,               0.005743
                     45,                 1.0917,                0.78397,                 1.3684,                0.96849,                0.67802,                0.81667,                0.59142,                 1.1442,                0.99814,                 1.1866,               0.005644,               0.005644,               0.005644
                     46,                  1.075,                0.74642,                 1.3594,                0.96703,                0.71324,                0.82497,                0.61323,                 1.0628,                0.89313,                 1.1669,               0.005545,               0.005545,               0.005545
                     47,                 1.1182,                0.78331,                 1.3662,                0.98923,                0.67568,                0.81858,                0.61007,                 1.0704,                0.88723,                 1.1399,               0.005446,               0.005446,               0.005446
                     48,                 1.0834,                0.76726,                 1.3599,                0.89838,                0.67647,                0.79905,                 0.5942,                 1.0064,                0.92191,                 1.1242,               0.005347,               0.005347,               0.005347
                     49,                 1.0673,                0.74051,                 1.3421,                0.89635,                0.76303,                 0.8412,                0.61933,                 1.0308,                0.84021,                 1.1292,               0.005248,               0.005248,               0.005248
                     50,                 1.0537,                0.71713,                 1.3306,                0.96938,                0.69841,                0.83595,                0.61431,                  1.058,                 0.8052,                 1.1595,               0.005149,               0.005149,               0.005149
                     51,                 1.0327,                0.71708,                 1.3046,                0.90635,                0.78276,                0.86274,                0.60761,                 1.1138,                0.81337,                 1.1899,                0.00505,                0.00505,                0.00505
                     52,                 1.0458,                0.73512,                 1.3365,                0.85232,                0.77941,                0.84441,                0.58696,                 1.1969,                0.88494,                 1.2032,               0.004951,               0.004951,               0.004951
                     53,                 1.0681,                0.73335,                 1.3328,                0.83218,                 0.7657,                0.82826,                0.62599,                 1.0294,                0.85574,                 1.1729,               0.004852,               0.004852,               0.004852
                     54,                 1.0319,                0.70186,                 1.2986,                0.86581,                0.71324,                 0.8255,                0.62278,                0.96294,                0.83323,                 1.1171,               0.004753,               0.004753,               0.004753
                     55,                 1.0333,                0.70034,                 1.3114,                0.93974,                0.69853,                0.83289,                0.62531,                0.96962,                0.82032,                 1.0859,               0.004654,               0.004654,               0.004654
                     56,                 1.0245,                0.70623,                 1.3039,                 0.7834,                0.77123,                0.81877,                0.60841,                 1.0249,                0.87149,                 1.1171,               0.004555,               0.004555,               0.004555
                     57,                0.98511,                0.67945,                 1.2941,                0.93466,                0.72794,                0.84458,                0.62117,                 1.0235,                0.74708,                 1.0815,               0.004456,               0.004456,               0.004456
                     58,                 1.0077,                0.68029,                 1.2896,                0.85439,                 0.7766,                0.85333,                 0.5931,                 1.1334,                0.82684,                 1.1269,               0.004357,               0.004357,               0.004357
                     59,                 1.0079,                0.70952,                 1.2947,                0.87774,                0.77941,                 0.8561,                0.64882,                0.89822,                0.74721,                 1.0713,               0.004258,               0.004258,               0.004258
                     60,                0.99985,                0.68175,                 1.2924,                0.95993,                0.70461,                0.83585,                0.62488,                 1.0067,                0.81058,                 1.1015,               0.004159,               0.004159,               0.004159
                     61,                 1.0009,                0.67441,                 1.3063,                0.91135,                0.75591,                0.86533,                0.64225,                0.97434,                0.79558,                 1.0833,                0.00406,                0.00406,                0.00406
                     62,                0.99219,                0.65833,                 1.2849,                0.91848,                0.74558,                0.85237,                0.61978,                0.93965,                0.80528,                 1.0543,               0.003961,               0.003961,               0.003961
                     63,                0.97944,                0.66375,                 1.2709,                0.93637,                0.75741,                0.86346,                0.65322,                0.97612,                0.79062,                 1.1064,               0.003862,               0.003862,               0.003862
                     64,                0.95649,                0.63829,                 1.2588,                0.87778,                0.79213,                0.86746,                0.67095,                 0.9007,                0.73786,                 1.0894,               0.003763,               0.003763,               0.003763
