                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  5.499,                 27.278,                 4.2061,                      0,                      0,                      0,                      0,                 5.5827,                 5.9518,                 4.1492,                  0.086,                  0.006,                  0.006
                      1,                 5.2108,                 8.9622,                 4.0736,                      0,                      0,                      0,                      0,                 5.5577,                 4.7274,                 4.1298,               0.071178,               0.012178,               0.012178
                      2,                 5.1608,                 5.2739,                  4.061,                      0,                      0,                      0,                      0,                 5.4851,                  4.861,                 4.0467,               0.056232,               0.018232,               0.018232
                      3,                 4.6989,                 4.9621,                 3.8886,                      0,                      0,                      0,                      0,                 5.3554,                 4.8952,                 3.9511,                0.04116,                0.02416,                0.02416
                      4,                 4.7594,                 5.1402,                 3.6817,                      0,                      0,                      0,                      0,                 5.4572,                 5.6063,                 4.0994,               0.028812,               0.028812,               0.028812
                      5,                 4.3784,                 4.7175,                 3.3302,                      0,                      0,                      0,                      0,                      0,                 1.2783,                      0,               0.028812,               0.028812,               0.028812
                      6,                 4.3292,                 4.6728,                 3.1604,                      0,                      0,                      0,                      0,                  6.002,                 1128.7,                 4.8528,               0.028515,               0.028515,               0.028515
                      7,                 4.1771,                 4.4232,                 3.0391,                 0.0004,                0.02941,                0.00022,                  2e-05,                    nan,                    nan,                    nan,               0.028218,               0.028218,               0.028218
                      8,                 4.1681,                 4.0286,                 2.9826,                0.00034,                0.08824,                0.00645,                0.00128,                 4.4833,                 5.9851,                 3.3811,               0.027921,               0.027921,               0.027921
                      9,                 4.0646,                 3.8987,                 2.9507,                0.00045,                0.11765,                0.00025,                  6e-05,                 3.9633,                 6.6025,                  3.386,               0.027624,               0.027624,               0.027624
                     10,                 3.9264,                 3.8277,                 2.6637,                0.00052,                0.14706,                0.00032,                  8e-05,                 4.0914,                 8.3109,                 3.3943,               0.027327,               0.027327,               0.027327
                     11,                 3.7934,                 3.7323,                 2.6523,                0.00052,                0.14706,                0.00033,                  7e-05,                 4.2487,                 15.216,                 3.2578,                0.02703,                0.02703,                0.02703
                     12,                 3.7126,                 3.6937,                 2.7329,                0.00021,                0.05882,                0.00011,                  2e-05,                 4.2298,                 8.2913,                 3.2937,               0.026733,               0.026733,               0.026733
                     13,                 3.7491,                  3.504,                 2.7532,                0.00146,                0.41176,                0.00217,                0.00053,                 3.9764,                 7.5331,                 3.0372,               0.026436,               0.026436,               0.026436
                     14,                 3.6187,                 3.3525,                  2.636,                0.00141,                0.35294,                0.00107,                0.00041,                 3.7597,                 7.9828,                 2.9274,               0.026139,               0.026139,               0.026139
                     15,                 3.6006,                  3.237,                 2.5756,                0.00218,                0.41176,                0.01875,                0.00325,                 3.6373,                 4.9614,                 2.9296,               0.025842,               0.025842,               0.025842
                     16,                 3.5867,                 3.3103,                 2.4949,                 0.0049,                0.41176,                0.00743,                0.00145,                 3.7119,                 6.7908,                 2.8507,               0.025545,               0.025545,               0.025545
                     17,                 3.6134,                  3.202,                 2.4874,                0.02267,                0.23529,                0.01522,                0.00356,                 3.6414,                 4.3041,                 3.0758,               0.025248,               0.025248,               0.025248
                     18,                 3.5491,                  3.192,                 2.3935,                0.02395,                0.26471,                0.02467,                0.00707,                 3.6937,                 5.8642,                 2.8322,               0.024951,               0.024951,               0.024951
                     19,                 3.5135,                 3.0983,                 2.4661,                0.00167,                0.35294,                0.00299,                0.00088,                 3.7475,                 4.9866,                 2.8489,               0.024654,               0.024654,               0.024654
                     20,                 3.4075,                   3.13,                 2.3577,                0.00231,                    0.5,                0.02256,                 0.0041,                 3.7204,                 5.5567,                 2.6933,               0.024357,               0.024357,               0.024357
                     21,                 3.3212,                 3.0262,                 2.3884,                0.00539,                0.35294,                0.01757,                0.00448,                 3.4706,                 5.3893,                 2.6496,                0.02406,                0.02406,                0.02406
                     22,                 3.3264,                 2.9181,                 2.4383,                0.00385,                0.41176,                0.00747,                0.00205,                 3.3972,                 4.6933,                 2.6893,               0.023763,               0.023763,               0.023763
                     23,                 3.2918,                 3.0258,                 2.3976,                0.02311,                0.20588,                 0.0435,                 0.0103,                 3.2607,                 3.5636,                 2.4521,               0.023466,               0.023466,               0.023466
                     24,                 3.4944,                 3.2005,                 2.5309,                0.00512,                    0.5,                0.17594,                0.04541,                 3.5474,                 3.5217,                  2.549,               0.023169,               0.023169,               0.023169
                     25,                 3.3119,                 2.9246,                 2.3086,                0.00762,                0.38235,                0.00925,                0.00207,                 3.3775,                 5.8693,                 2.4769,               0.022872,               0.022872,               0.022872
                     26,                 3.4094,                  3.094,                 2.2815,                0.00676,                    0.5,                0.00868,                0.00241,                 3.2877,                 4.6469,                 2.5347,               0.022575,               0.022575,               0.022575
                     27,                 3.4192,                 2.9067,                 2.3348,                0.02475,                0.23529,                0.02823,                0.00807,                 3.4861,                 3.3783,                 2.5069,               0.022278,               0.022278,               0.022278
